Form,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
8A12BT/A,,,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,8
8F-2 NTC,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,3
8F-2 ORDR,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,2
9-M,,,,,,,,,,,1,2,2,,2,1,,1,2,,,,,1,,1,,,13
ABS-15G,,,,,,,,,,,,,,,,,,,,650,697,779,"1,128","1,410","1,777","2,014","2,021","1,909","12,385"
ABS-15G/A,,,,,,,,,,,,,,,,,,,,295,248,292,339,385,430,458,513,558,"3,518"
ABS-EE,,,,,,,,,,,,,,,,,,,,,,,,12,982,"2,592","4,395","5,810","13,791"
ABS-EE/A,,,,,,,,,,,,,,,,,,,,,,,,6,42,39,85,66,238
ADB,,,,,,,,,,11,7,,,,,,,,,,,,,,,,,,18
ADN-MTL,,,,,,,,,1,13,12,,1,2,,3,,4,,1,1,,,,,,,,38
ADV-E,,,,,,,,,3,433,443,287,237,212,190,190,218,196,4,4,,,,,,,,,"2,417"
ADV-H-C,,,,,,,,,,1,,,,,1,3,,,,,,,,,2,,1,,8
ADV-H-T,,,,,,,,,,5,5,4,9,2,2,,,3,7,7,2,,,6,,4,15,1,72
ADV-NR,,,,,,,,,8,6,7,15,58,73,11,4,14,14,19,115,36,27,22,43,57,89,53,3,674
ADV/A,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
ADVCO,,,,,,,,,,49,1,,,,,,,,,,,,,,,,,,50
ADVW,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,8
AFDB,,,,,,,,,,5,4,,,,,,,,,,,,,,,,,,9
AFDB/A,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
ANNLRPT,,,,,,,,,,2,9,3,6,8,3,7,4,6,7,5,5,4,7,4,7,8,6,6,107
ANNLRPT/A,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
APP NTC,,,,,,,,,,,,,,,,,105,122,104,201,105,115,97,110,74,66,59,19,"1,177"
APP ORDR,,,,,,,,,,,,,,,,,79,117,93,199,115,101,106,100,70,54,57,19,"1,110"
APP WD,,,,,,,,,,35,46,26,23,31,24,97,25,217,52,96,83,29,67,55,121,190,91,51,"1,359"
APP WD/A,,,,,,,,,,,,,,,,,,5,6,2,1,,9,,3,,,,26
APP WDG,,,,,,,,,,,,,,,,,,,,13,19,3,11,5,3,,14,12,80
ARS,,40,68,125,147,108,112,81,93,"3,355","3,163","2,831","2,950","2,879","2,657","2,899","2,389","2,295","2,074","2,015","1,986","2,071","2,095",44,31,28,26,22,"36,584"
ARS/A,,,,,,,,,,3,2,,,,5,8,3,2,5,,2,2,1,2,1,,,1,37
ATS-N,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4
ATS-N-C,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,6
ATS-N/CA,,,,,,,,,,,,,,,,,,,,,,,,,,,8,14,22
ATS-N/MA,,,,,,,,,,,,,,,,,,,,,,,,,,,25,44,69
ATS-N/UA,,,,,,,,,,,,,,,,,,,,,,,,,,,61,103,164
AW,,40,48,58,54,81,64,95,121,100,104,141,213,229,189,224,247,271,345,174,157,132,170,189,196,173,168,126,"4,109"
AW WD,,,,,,,,,,3,8,14,5,6,20,3,4,7,9,1,2,1,1,9,3,3,2,2,103
BDCO,,,,,,,,,,91,332,,,,,,,,,,,,,,,,,,423
BW-2,,,,2,3,4,4,4,4,4,2,,,,,,,,,,,,,,,,,,27
BW-3,,,,4,4,5,14,16,18,32,,,,,,,,,,,,,,,,,,,93
C,,,,,,,,,,,,,,,,,,,,,,,,192,524,763,715,"1,165","3,359"
C-AR,,,,,,,,,,,,,,,,,,,,,,,,,59,218,324,436,"1,037"
C-AR-W,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,5
C-AR/A,,,,,,,,,,,,,,,,,,,,,,,,,9,16,11,14,50
C-TR,,,,,,,,,,,,,,,,,,,,,,,,,1,16,47,102,166
C-TR-W,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2
C-U,,,,,,,,,,,,,,,,,,,,,,,,35,198,366,345,402,"1,346"
C-U-W,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,6
C-W,,,,,,,,,,,,,,,,,,,,,,,,15,45,54,67,135,316
C/A,,,,,,,,,,,,,,,,,,,,,,,,171,496,718,785,"1,503","3,673"
C/A-W,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,,2,10
CB,,,,,,,,,,105,125,120,416,143,108,72,126,163,130,100,139,91,80,102,95,68,60,50,"2,293"
CB/A,,,,,,,,,,137,115,95,55,104,167,84,137,140,153,129,85,67,122,107,162,72,165,107,"2,203"
CERT,,,,,,,,,,,,,,,,,,,,,1,,,1,64,792,849,"1,183","2,890"
CERTAMX,,,,,,,,,3,213,148,222,267,231,304,157,,,,,,,,,,,,,"1,545"
CERTARCA,,,,,,,,,,,,,,,,,,72,113,31,56,31,31,22,6,,,,362
CERTBATS,,,,,,,,,,,,,,,,,,,,2,5,,14,13,35,,6,,75
CERTBSE,,,,,,,,,,4,4,,,4,1,,,,,,,,,,,,,,13
CERTCBO,,,,,,,,,,,,,,,,,,,,,,,,,,39,34,1,74
CERTCSE,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2
CERTNAS,,,,,,,,,,,,,,129,310,181,131,213,167,198,259,352,280,259,254,12,,,"2,745"
CERTNYS,1,,,,,,,,7,438,368,363,298,315,319,192,225,362,354,448,490,376,296,357,380,,,,"5,589"
CERTPAC,,,,,,,,,,9,,3,17,12,60,226,148,52,,10,2,,,,,,,,539
CERTPBS,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,3
CFPORTAL,,,,,,,,,,,,,,,,,,,,,,,,35,14,10,10,12,81
CFPORTAL-W,,,,,,,,,,,,,,,,,,,,,,,,1,,3,4,2,10
CFPORTAL/A,,,,,,,,,,,,,,,,,,,,,,,,53,49,48,74,59,283
CORRESP,,,,,,,,,,,1,917,"8,923","11,777","11,582","10,573","15,090","17,965","17,251","15,934","16,135","12,931","12,134","12,874","13,145","10,591","8,775","8,799","205,397"
CT ORDER,,,,,,,,,,,,,,,,"1,095","1,494","1,592","1,429","1,488","1,329","1,343","1,287","1,341","1,282","1,277",744,272,"15,973"
D,,,,,,,,,,,,,,1,1,389,"14,260","17,861","18,348","18,419","20,157","22,453","23,462","23,365","24,874","27,685","27,746","28,415","267,436"
D/A,,,,,,,,,,,,,,,2,61,"7,141","11,940","12,672","13,410","14,680","15,972","16,118","16,836","17,594","17,633","18,553","18,321","180,933"
DEF 14A,,"1,925","3,823","6,104","8,639","8,566","8,517","8,511","8,041","8,052","7,632","7,401","7,644","7,542","7,156","6,917","7,222","6,143","5,796","5,554","5,614","5,526","5,635","5,351","5,443","5,883","5,152","5,278","175,067"
DEF 14C,,21,49,125,161,205,220,336,421,500,529,694,650,657,658,622,585,647,528,482,559,588,569,517,513,466,506,441,"12,249"
DEF-OC,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,2
DEF13E3,,1,11,19,27,13,25,3,,,,,,,,,,,,,,,,,,,,,99
DEF13E3/A,,6,11,51,15,24,4,4,,,,,,,,,,,,,,,,,,,,,115
DEFA14A,,624,589,"1,137","1,258","1,203","1,284","1,709","1,914","1,803","2,006","2,797","2,958","5,071","5,750","4,458","5,098","4,941","4,449","4,160","5,262","5,463","5,063","5,212","6,315","5,225","5,372","8,647","99,768"
DEFA14C,,2,5,6,15,6,8,12,14,12,7,11,6,21,44,55,20,17,22,14,16,19,23,9,12,15,12,15,418
DEFC14A,,159,47,71,119,95,151,161,119,113,104,78,81,95,117,162,162,109,83,91,125,115,141,143,109,113,144,94,"3,101"
DEFC14C,,6,,,,3,3,3,4,2,4,,,,6,1,,2,2,,,,2,,,,,,38
DEFM14A,,29,61,155,175,228,256,301,238,174,184,207,253,285,345,207,137,202,202,149,191,185,219,230,224,246,221,179,"5,483"
DEFM14C,,1,7,12,12,15,38,24,28,26,21,16,12,23,20,16,17,13,19,17,6,13,12,14,12,12,12,8,426
DEFN14A,,,5,58,24,22,35,31,16,15,16,15,29,49,53,28,44,23,16,12,12,16,6,14,10,2,12,4,567
DEFR14A,,10,124,214,281,381,333,348,321,371,240,258,279,304,229,249,289,141,187,221,163,146,167,180,178,118,159,149,"6,040"
DEFR14C,,,,7,14,9,11,11,13,19,30,32,30,27,30,28,15,14,13,9,23,13,9,14,12,9,13,10,415
DEFS14A,,79,196,523,812,746,690,815,712,203,,,,,,,,,,,,,,,,,,,"4,776"
DEFS14C,,,2,13,23,8,9,13,13,5,,,,,,,,,,,,,,,,,,,86
DEL AM,,2,6,12,45,35,32,39,54,42,32,53,50,17,107,55,67,53,39,22,47,112,51,50,54,48,61,104,"1,289"
DFAN14A,,20,128,600,836,678,480,688,"1,187",970,835,542,650,"1,302","1,069","1,181","1,234","1,115",657,965,"1,217","1,139","1,105","1,236","1,208","1,085","1,034",826,"23,987"
DFRN14A,,,4,26,21,68,56,26,68,32,29,9,22,22,24,20,20,18,6,8,18,22,6,18,14,16,38,34,645
DOS,,,,,,,,,,,,,,,,,,,,,,,17,34,35,36,18,24,164
DOS/A,,,,,,,,,,,,,,,,,,,,,,,16,29,46,34,31,29,185
DOSLTR,,,,,,,,,,,,,,,,,,,,,,,15,29,37,27,35,8,151
DRS,,,,,,,,,,,,,,,,,,,,61,282,360,239,140,298,423,380,646,"2,829"
DRS/A,,,,,,,,,,,,,,,,,,,,24,331,461,346,269,398,537,461,477,"3,304"
DRSLTR,,,,,,,,,,,,,,,,,,,,18,226,335,254,235,410,500,436,358,"2,772"
DSTRBRPT,,,,,,,,,,,12,9,5,6,4,7,4,20,15,8,3,14,15,23,98,96,83,109,531
DSTRBRPT/A,,,,,,,,,,,8,5,2,,,,,,,,,,,,2,2,,,19
EBRD,,,,,,,,,,6,10,,,,,,,,,,,,,,,,,,16
EBRD/A,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
EFFECT,,,,,,,,,,,,,,"5,213","10,188","6,649","7,620","10,199","11,531","10,239","11,023","9,489","9,616","6,106","6,911","4,563","4,227","5,433","119,007"
F-1,,,,6,7,12,25,44,11,39,31,77,66,58,83,38,35,95,65,58,65,113,79,45,80,113,137,166,"1,548"
F-1/A,,,,10,30,26,88,110,28,93,70,149,197,153,251,88,81,360,217,176,202,303,233,160,226,302,287,388,"4,228"
F-10,,,,,,,,,,31,29,112,37,78,76,28,48,34,38,49,41,78,64,52,57,63,63,84,"1,062"
F-10/A,,,,,,,,,,30,28,142,93,83,83,29,65,27,29,44,52,86,108,55,42,54,62,69,"1,181"
F-10EF,,,,,,,,,,1,,,,,3,,,1,,,,,,,1,1,,,7
F-10POS,,,,,,,,,,1,4,1,4,8,5,4,2,8,3,1,3,,1,3,3,,6,1,58
F-1MEF,,,,,2,,1,1,,4,4,1,7,8,10,,4,7,8,2,14,14,15,7,13,12,19,38,191
F-2,,,,,,1,,2,,3,1,7,2,,,,,,,,,,,,,,,,16
F-2/A,,,,2,,,1,7,,8,9,6,4,,,,,,,,,,,,,,,,37
F-3,,,2,3,21,12,14,39,33,105,203,97,79,142,256,81,221,134,87,156,100,214,536,62,225,252,273,160,"3,507"
F-3/A,,,2,1,18,15,14,27,17,133,209,181,165,161,261,73,336,136,57,150,81,272,"1,460",120,45,40,30,78,"4,082"
F-3ASR,,,,,,,,,,,,,5,67,46,149,136,255,59,128,425,52,97,38,54,76,61,65,"1,713"
F-3D,,,,,,,,,,3,,,,,5,4,1,5,3,3,6,1,7,7,6,3,1,3,58
F-3DPOS,,,,,,2,1,,,1,1,,4,,,1,1,,2,1,3,,2,2,,,4,11,36
F-3MEF,,,,,,,1,1,7,1,4,1,4,,,,,4,1,1,3,1,1,2,1,1,1,5,40
F-4,,1,,6,68,40,30,33,66,180,435,240,479,99,178,32,106,177,465,414,75,36,44,40,33,51,44,31,"3,403"
F-4 POS,,,,,,,,,,4,7,1,,4,,1,2,2,5,2,2,,,1,,,,2,33
F-4/A,,,,7,86,135,33,58,108,320,560,"1,179",541,101,188,47,118,159,919,"1,443",134,67,65,96,77,68,30,54,"6,593"
F-4EF,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
F-4MEF,,,,,,,,,3,,,1,1,,,,,1,,,,,1,1,,,,,8
F-6,,,,,,,2,2,,99,67,96,89,77,88,86,141,273,237,162,186,348,164,114,146,174,156,139,"2,846"
F-6 POS,,,,,,,,,,14,37,39,34,47,89,125,125,118,76,152,178,176,222,296,"1,772",288,198,324,"4,310"
F-6/A,,,,,,,2,,,7,6,11,9,3,12,6,10,24,10,10,10,6,8,12,20,42,33,28,269
F-6EF,,,,,,,,,,77,46,47,53,96,130,"1,282",635,580,798,804,982,"1,359",844,880,712,336,"1,111",334,"11,106"
F-7,,,,,,,,,,2,2,,1,1,2,3,4,1,,1,2,5,7,1,4,3,3,2,44
F-7 POS,,,,,,,,,,,,,,,,1,,,,,1,1,2,,,,,,5
F-7/A,,,,,,,,,,,,,,1,1,1,1,,,,,2,1,1,,2,,,10
F-8,,,,,,,,,,4,3,2,4,4,2,3,3,3,1,,1,1,,,1,,,,32
F-8 POS,,,,,,,,,,2,1,,,3,,,,,,,,2,,,3,2,,,13
F-8/A,,,,,,,,,,4,3,2,4,10,3,7,1,9,1,1,4,,,,,1,,,50
F-80,,,,,,,,,,4,,,3,4,1,,1,,3,1,3,1,1,2,2,2,,,28
F-80/A,,,,,,,,,,3,,,1,4,,,2,,3,1,7,,,,,1,,,22
F-80POS,,,,,,,,,,,2,,,,,,,,3,,,1,2,2,6,4,,,20
F-9,,,,,,,,,,10,15,15,6,8,10,14,8,9,14,16,,,,,,,,,125
F-9 POS,,,,,,,,,,,1,,1,,,,1,,1,1,,,,,,,,,5
F-9/A,,,,,,,,,,10,11,11,5,9,8,11,12,5,13,15,,,,,,,,,110
F-9EF,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,4
F-N,,,,,,,,,,5,8,10,11,20,15,25,30,15,21,25,16,23,37,31,36,28,17,20,393
F-N/A,,,,,,,,,,2,1,,,1,,,,3,1,1,,5,1,4,5,,,1,25
F-X,,,,,,,,,1,142,159,172,183,220,230,124,177,194,211,150,147,190,142,163,125,150,160,203,"3,243"
F-X/A,,,,,,,,,,13,4,18,17,6,15,16,19,14,10,21,4,3,2,8,12,11,97,5,295
FOCUSN,,,,,,,,,,268,"1,743","1,633","1,706","1,706","1,760","1,636","1,530","1,691","1,748","1,877","1,906","1,946","1,982","1,675","1,506","1,324","1,201",936,"29,774"
FOCUSN/A,,,,,,,,,,27,37,50,36,32,55,47,44,73,82,60,66,31,127,108,52,30,21,2,980
FWP,,,,,,,,,,,,,477,"10,147","11,954","8,304","6,491","7,614","8,930","11,484","12,094","12,827","11,003","7,953","9,727","11,116","15,293","19,199","164,613"
G-405,,,1,2,,1,1,,,7,7,5,5,4,5,3,3,3,3,3,2,3,1,1,,1,2,,63
G-405/A,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,2
G-405N,,,,,,1,,1,,2,4,4,5,6,3,2,3,3,3,1,2,3,2,1,,,2,,48
G-405N/A,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
G-FIN,,,,,,,,,,1,6,,,,,2,1,2,2,1,,1,1,1,,2,1,1,22
G-FIN/A,,,,,,,,,,18,57,7,8,19,9,14,14,7,17,12,14,16,10,2,13,10,6,1,254
G-FINW,,,,,,,,,,1,1,1,,,2,,,2,2,1,,2,,2,1,,,,15
IADB,,,,,,,,,,9,4,,,,,,,,,,,,,,,,,,13
ID-NEWCIK,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
IFC,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,6
IRANNOTICE,,,,,,,,,,,,,,,,,,,,,520,537,468,407,375,334,290,220,"3,151"
MA,,,,,,,,,,,,,,,,,,,,,,508,194,54,39,34,30,21,880
MA-A,,,,,,,,,,,,,,,,,,,,,,1,319,276,316,333,365,387,"1,997"
MA-I,,,,,,,,,,,,,,,,,,,,,,"3,957",990,906,619,468,624,293,"7,857"
MA-I/A,,,,,,,,,,,,,,,,,,,,,,97,"1,289","1,363","2,078","1,403","1,445","1,080","8,755"
MA-W,,,,,,,,,,,,,,,,,,,,,,3,40,51,116,47,46,28,331
MA/A,,,,,,,,,,,,,,,,,,,,,,26,250,271,281,244,256,211,"1,539"
MSD,,,,,,,,,,2,4,2,,3,5,1,2,2,8,3,3,3,1,2,,,,,41
MSD/A,,,,,,,,,,23,25,20,19,25,29,49,35,22,22,18,17,21,22,11,22,18,13,3,414
MSDCO,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,22
MSDW,,,,,,,,,,4,1,4,3,6,4,20,13,4,6,,3,3,5,1,2,,2,,81
N-1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,2
N-1/A,,,12,32,20,15,14,9,9,3,7,9,12,,,,,,,,,,,,,,,,142
N-14,,2,4,7,21,98,102,172,186,121,172,153,113,131,143,173,266,178,129,139,123,124,175,118,137,155,164,175,"3,481"
N-14 8C,,,,,,,13,14,6,8,1,6,13,4,7,13,13,7,21,18,14,20,12,14,13,18,16,23,274
N-14 8C/A,,,,,,,9,14,6,6,3,4,13,5,17,8,22,15,13,30,13,25,15,20,8,24,17,24,311
N-14/A,,2,16,15,20,60,60,132,139,89,111,120,111,164,146,101,161,72,59,58,72,68,53,93,103,80,105,87,"2,297"
N-14AE,,,,,18,56,40,131,63,150,101,67,84,136,37,6,,,,,,,,,,,,,889
N-14AE/A,,,,,1,6,15,12,23,38,28,11,16,23,7,2,,,,,,,,,,,,,182
N-14MEF,,,,,,,,,1,,,1,,,,,,1,,,,,,,,1,,1,5
N-18F1,,21,105,107,88,105,84,82,44,37,33,44,58,27,31,63,59,34,31,23,25,81,21,17,20,28,18,5,"1,291"
N-18F1/A,,,1,1,5,3,,4,3,1,1,,1,2,,2,4,1,1,,,,,,,,1,,31
N-1A,,12,31,31,69,174,163,149,106,97,81,86,60,88,64,46,40,49,56,62,69,45,43,39,43,36,29,24,"1,792"
N-1A EL,,35,54,144,119,,,,,,,,,,,,,,,,,,,,,,,,352
N-1A EL/A,,54,88,169,152,,,,,,,,,,,,,,,,,,,,,,,,463
N-1A/A,,8,38,79,99,241,246,230,113,107,105,92,94,130,117,84,63,80,88,110,110,126,93,87,77,41,52,50,"2,760"
N-2,,16,32,54,77,122,172,96,142,242,220,222,177,128,166,120,126,176,178,141,163,140,130,125,132,141,147,177,"3,762"
N-2/A,,32,56,85,99,144,219,116,228,352,366,321,326,179,266,142,138,243,257,301,335,238,243,187,197,217,215,168,"5,670"
N-23C-1,,15,28,41,32,86,114,150,139,132,119,62,2,,,,,,,,,,,,,,,,920
N-23C-1/A,,,,,,8,1,,,2,3,2,,,,,,,,,,,,,,,,,16
N-23C-2,,,,,2,7,4,6,6,17,18,5,4,17,12,423,323,132,112,54,72,52,30,63,43,113,41,82,"1,638"
N-23C-2/A,,,,,,,,2,,1,,,,,,16,25,2,1,,2,,1,1,,,,6,57
N-23C3A,,,,,,7,21,51,59,71,75,81,81,81,92,84,73,72,67,61,75,78,103,106,141,184,240,265,"2,168"
N-23C3A/A,,,,,,,2,,2,3,2,,,,1,2,1,2,,,1,1,1,,1,4,2,3,28
N-23C3B,,,,,12,22,30,35,39,42,34,28,25,24,24,11,9,8,9,9,8,8,6,4,4,4,4,4,403
N-23C3B/A,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,3
N-23C3C,,,,,,11,18,5,7,1,,,,,1,,,,,,,1,1,,,,3,,48
N-23C3C/A,,,,,,,,4,2,5,5,3,3,8,4,4,5,1,,,,,,1,1,1,,,47
N-27D-1,,,,,,3,3,,1,2,4,4,4,4,,,,,,,,,,,,,,,25
N-2ASR,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
N-2MEF,,,,,2,2,1,,10,16,30,27,19,15,26,1,8,7,11,13,14,6,5,4,8,3,8,10,246
N-3,,,1,,1,7,2,4,3,3,1,11,2,,4,,,,,,,,,,,,,,39
N-3 EL,,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,5
N-3 EL/A,,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,6
N-3/A,,,,3,,4,2,,,,,9,,,,,,,,,,,,,,,,,18
N-30B-2,,328,679,745,534,531,447,316,351,349,295,300,278,370,442,458,489,475,441,421,398,415,430,432,425,441,475,446,"11,711"
N-30D,,"1,240","4,599","7,522","7,966","8,401","8,614","8,679","9,089","8,793","4,073",608,396,495,510,495,458,430,434,418,403,438,437,347,343,343,294,277,"76,102"
N-30D/A,,21,52,96,87,113,138,127,137,187,107,20,3,2,1,,3,6,4,1,1,,5,3,,3,2,,"1,119"
N-4,,,6,6,30,107,149,144,151,168,100,115,56,96,169,104,73,75,124,88,140,105,35,46,26,22,58,55,"2,248"
N-4 EL,,1,30,62,52,,,,,,,,,,,,,,,,,,,,,,,,145
N-4 EL/A,,,24,61,53,,,,,,,,,,,,,,,,,,,,,,,,138
N-4/A,,1,12,26,25,98,127,157,113,125,122,62,67,77,101,156,77,77,135,82,89,42,43,61,21,14,54,50,"2,014"
N-5,,,,3,2,,,,,1,,,1,,,,1,,,,2,,,,,,,,10
N-5/A,,,,1,1,2,,1,,,,,,2,,,,,,,2,,,,,,,,9
N-54A,,,,6,12,8,3,11,4,6,12,46,21,15,9,7,4,10,13,15,14,12,14,10,8,5,7,15,287
N-54A/A,,,,,2,1,,1,,,1,2,1,,,,,,,,,,,,,,,1,9
N-54C,,,,3,4,7,13,6,9,3,9,6,18,21,12,13,9,10,8,1,,5,2,5,7,8,8,8,195
N-54C/A,,,,,1,1,,,,,,,,,,1,,,,,,1,,,,,,,4
N-6,,,,,,,,,,28,79,56,22,43,101,94,15,41,7,19,21,44,10,8,6,8,59,38,699
N-6/A,,,,,,,,,,11,50,45,34,38,33,112,30,5,6,15,10,12,12,5,14,9,51,22,514
N-6F,,,,,,2,4,1,,1,4,,2,5,10,3,3,13,23,8,13,16,14,5,2,3,6,5,143
N-6F/A,,,,,,1,2,,,,,1,1,1,1,,2,10,22,13,1,2,2,3,,,,1,63
N-8A,,51,115,249,266,285,276,223,169,261,207,207,145,156,159,105,112,135,143,130,143,92,102,97,90,87,94,123,"4,222"
N-8A/A,,7,17,19,32,25,62,14,25,14,16,11,22,30,25,13,11,33,7,69,55,23,8,6,10,15,28,4,601
N-8B-2,,,13,15,28,30,28,19,13,15,1,,,1,1,2,1,,,4,2,4,3,,,,1,1,182
N-8B-2/A,,5,22,6,8,12,6,15,11,12,11,5,,4,7,14,13,2,4,2,1,3,,2,2,4,,,171
N-8B-4,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,3
N-8F,,,,,,,,,,,,77,309,257,208,227,330,221,132,147,193,141,128,123,153,98,195,137,"3,076"
N-8F NTC,,,,,,,,,,,,,,,,,187,300,138,125,98,98,150,74,158,98,164,132,"1,722"
N-8F ORDR,,,,,,,,,,,,,,,,,192,300,144,127,166,164,153,79,154,96,128,170,"1,873"
N-8F/A,,,,,,,,,,,,36,205,131,133,69,167,95,49,73,66,37,24,52,67,71,68,69,"1,412"
N-CEN,,,,,,,,,,,,,,,,,,,,,,,,,,742,"3,378","3,330","7,450"
N-CEN/A,,,,,,,,,,,,,,,,,,,,,,,,,,53,697,306,"1,056"
N-CR,,,,,,,,,,,,,,,,,,,,,,,7,31,5,6,6,10,65
N-CR/A,,,,,,,,,,,,,,,,,,,,,,,,6,,,,7,13
N-CSR,,,,,,,,,,,"3,178","4,408","3,834","3,668","3,637","3,667","3,542","3,285","3,336","3,242","3,326","3,386","3,449","3,349","3,291","3,288","3,209","3,116","62,211"
N-CSR/A,,,,,,,,,,,215,309,342,238,245,248,81,174,129,147,144,79,116,105,119,130,99,83,"3,003"
N-CSRS,,,,,,,,,,,"1,083","2,912","3,004","3,067","3,106","3,116","3,093","3,137","3,126","3,172","3,209","3,304","3,342","3,294","3,288","3,247","3,206","3,085","54,791"
N-CSRS/A,,,,,,,,,,,114,92,62,64,70,79,54,46,54,54,44,28,27,33,29,46,25,43,964
N-MFP,,,,,,,,,,,,,,,,,,699,"8,551","8,033","7,586","7,321","7,032","2,192",,,,,"41,414"
N-MFP/A,,,,,,,,,,,,,,,,,,182,907,267,138,351,207,191,,,,,"2,243"
N-MFP1,,,,,,,,,,,,,,,,,,,,,,,,"3,040",,,,,"3,040"
N-MFP1/A,,,,,,,,,,,,,,,,,,,,,,,,528,25,,,,553
N-MFP2,,,,,,,,,,,,,,,,,,,,,,,,935,"5,505","5,126","4,967","4,873","21,406"
N-MFP2/A,,,,,,,,,,,,,,,,,,,,,,,,199,354,199,131,112,995
N-PX,,,,,,,,,,,1,"3,581","3,607","3,429","3,409","3,442","3,000","2,940","2,870","2,841","2,856","2,829","2,870","2,829","2,819","2,792","2,655","2,579","51,349"
N-PX/A,,,,,,,,,,,,190,376,112,103,130,100,199,95,70,92,50,67,60,50,32,80,49,"1,855"
N-Q,,,,,,,,,,,3,"2,526","6,786","6,489","6,513","6,522","6,295","6,159","6,159","6,202","6,312","6,452","6,468","6,401","6,248","6,184","2,890",393,"95,002"
N-Q/A,,,,,,,,,,,,47,135,84,103,124,75,77,62,48,46,46,44,39,39,29,16,5,"1,019"
N14AE24,,6,80,84,56,,,,,,,,,,,,,,,,,,,,,,,,226
N14AE24/A,,,25,21,11,,,,,,,,,,,,,,,,,,,,,,,,57
N14EL24,,9,59,46,37,,,,,,,,,,,,,,,,,,,,,,,,151
N14EL24/A,,18,32,23,16,,,,,,,,,,,,,,,,,,,,,,,,89
NO ACT,,,,1,1,,,1,19,797,679,761,600,525,551,743,676,556,453,475,525,483,417,315,273,,,,"8,851"
NPORT-EX,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,210",,"7,210"
NPORT-EX/A,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4,14
NPORT-P,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,998","47,410","56,408"
NPORT-P/A,,,,,,,,,,,,,,,,,,,,,,,,,,,119,981,"1,100"
NRSRO-CE,,,,,,,,,,,,,,,,,,,,,,,2,10,10,10,10,9,51
NRSRO-CE/A,,,,,,,,,,,,,,,,,,,,,,,1,10,6,6,2,3,28
NRSRO-UPD,,,,,,,,,,,,,,,,,,,,,,,19,36,28,32,26,29,170
NSAR-A,,"1,832","2,802","3,220","3,276","3,232","3,239","3,344","3,369","3,301","3,296","3,288","3,212","3,085","3,126","3,061","3,011","2,911","2,886","2,837","2,815","2,834","2,830","2,827","2,771",989,,,"73,394"
NSAR-A/A,,113,187,193,169,123,166,233,124,125,100,76,176,105,144,130,116,399,154,146,377,152,149,140,133,71,,,"4,001"
NSAR-AT,,24,19,14,12,21,14,16,12,1,7,8,7,12,7,3,5,1,3,2,9,1,1,1,1,,,,201
NSAR-AT/A,,1,1,,2,2,,,1,,2,1,,,1,,1,1,,,2,,1,,,,,,16
NSAR-B,1,"1,773","2,619","3,148","3,170","3,226","3,303","3,299","3,459","3,350","3,314","3,272","3,184","2,971","3,207","3,075","3,020","2,899","2,818","2,807","2,820","2,816","2,790","2,809","2,762","1,612",1,,"73,525"
NSAR-B/A,,171,187,232,245,227,249,309,225,254,214,246,315,198,289,279,169,517,187,259,525,254,239,223,222,118,4,,"6,357"
NSAR-BT,,51,50,47,47,32,47,34,37,12,37,31,9,23,33,17,9,12,45,17,14,9,39,15,14,6,,,687
NSAR-BT/A,,3,6,,2,,4,8,6,,3,5,3,,8,1,,2,1,,,,2,,,,,,54
